,1,2,3,4,5,6,7,8,9,10
1,68.04895584828944,95.49278874501584,99.79921512677785,99.9891304347826,100.0,100.0,100.0,100.0,100.0,100.0
2,47.804407302309976,84.86795529056837,97.03441357541584,99.63268043057464,100.0,100.0,100.0,100.0,100.0,100.0
3,38.0686520711368,77.17417583558986,93.07087775004676,98.4965081850715,99.68614018739851,99.94284701844187,100.0,100.0,100.0,100.0
4,28.849715724288266,69.61671168930758,90.10006272717888,97.39584213145338,99.3531335146986,99.84234908265165,100.0,100.0,100.0,100.0
5,21.053680733082484,62.73359892194654,86.18662663507561,95.92665514387073,98.64138507045313,99.72027585318614,99.96578430938574,100.0,99.98863636363636,100.0
6,15.409113770497548,54.33333718687029,81.30205207964333,93.78076229011914,98.15677625360678,99.59953472759511,99.87425117440552,100.0,100.0,100.0
7,10.87505363589579,49.583014009542836,75.46239204737297,91.36071183057969,96.80765099070915,99.26338115944885,99.75711126901169,99.96446151011436,100.0,100.0
8,6.720435635083431,40.06931468146823,70.96341545242437,87.4075400598721,94.70130504880825,98.32170306852636,99.3458264565455,99.84693894808049,99.95379689838298,99.98809523809523
9,5.162157348765853,35.34608230550538,64.82669503109308,83.16021357854561,92.67503083920641,97.22597383114864,99.1050724843443,99.6977660614996,99.97382825863839,100.0
10,4.074185054265561,32.34725703729799,62.58534434222946,81.31693416461142,90.93660694796745,96.30177139832695,98.1282661637821,99.52025534161646,99.81505180453722,99.91188029816723
11,3.288686109866904,29.127743090413507,59.28834361495594,78.52636591194843,89.04422350508929,95.3219837631277,98.35046517387372,99.15801752442331,99.64304132421071,99.98958333333334
12,2.948104073738019,26.710750782385027,55.62296743704124,74.30642147010799,88.60142872612408,94.10879511667119,98.5178041442173,99.21671032837666,99.66921719294005,99.93844655602256
13,2.203453299787648,21.60518524671525,52.20870293984489,72.83788481155163,87.28470223958487,93.85874221091677,97.0751134005578,98.96704494511947,99.62032530765435,99.92668599176208
14,1.8440782017280821,19.349155464626836,47.35164344784188,70.08258612913059,83.72351192339724,92.6052869147483,96.42137405377335,98.94378481900159,99.36906177169894,99.785392739579
15,1.472974057939561,16.98828639839163,45.28013637062672,66.50142193162387,80.75332830305362,90.29648378005892,95.89330873201305,98.06878486974216,99.17673336569322,99.7351973211211
16,1.7342978362374228,15.299439531160353,40.81280911791116,63.04455734714815,78.77609214312976,89.65806179278854,94.66862515992561,97.40639294471583,98.64144447693074,99.37259027213966
17,1.4687368219898307,13.461310431457134,38.160680085497894,60.328384871635755,76.73972331892585,87.13698293044497,93.48762958515994,96.50150641091835,98.53120832405438,99.31847258545115
18,1.4478776807303515,12.694498350437529,37.166921864037086,57.88614874560578,75.62133638251552,86.59641569498923,92.3577682534032,96.49124450748656,98.2432012323128,99.12046625211576
19,1.1521500374479743,11.415884585548529,35.388582381727126,57.46204706537955,72.88586707033362,84.75153636866862,92.03782555611895,95.39223223690475,97.84927586618451,99.14907194814481
20,1.4279063648035748,11.135488030702723,33.35050270499957,56.16381054885102,73.36336981559894,85.1010350725749,91.48787222480352,95.49025781679074,96.83089524000351,98.99240126009421
21,1.371159057159785,9.216752681738656,31.123286785745723,53.6842153872591,69.99641300476962,82.73473252944967,88.30817766439374,94.47813868334678,97.48831047873826,98.77484470337801
22,1.2962190759351409,8.469899130587892,29.676737770786527,51.319428021239574,66.40785913954502,80.69383217749288,88.06531158919896,92.67340842771189,97.03854369864946,97.94331553191454
23,1.0583013185783363,8.255270183897624,28.30736760088268,49.59712320254971,64.59748470556299,78.33122742173718,87.73646693422813,92.84952365690528,96.71188733828481,97.40415824795207
24,1.1482543518484043,6.6622317678548635,25.789890028009538,47.7099132350742,65.8596572400629,78.66903091081544,85.57925274636008,92.51236014371737,95.15263290288378,97.2962720780692
25,0.9662999719805937,7.189478568768942,23.5706243057957,48.42275081789282,63.204116146332616,76.07631392713076,84.2490102420813,91.42818811443587,94.56189010611546,97.24149447025098
26,1.2565133193888347,6.392120368250979,23.254788122044957,41.73662325323854,63.586997955002786,74.71571370217663,84.60053408526463,90.78759271854805,95.02269250914658,96.95526858120432
27,1.2356109309544223,5.980682005619486,21.563674579665594,42.67731314949112,61.54382036456379,72.9301056801364,85.03391912159276,90.00195413286963,93.89402794541725,96.3346539522064
28,0.8401634518480955,5.268949659846071,20.558895627088678,42.14821040372555,58.8566479813345,74.34677105269685,80.70201222635527,88.71902531415091,92.85652731623888,96.64140368685224
29,0.9948132117487752,4.666519173559175,18.228043728354915,37.5185314189884,56.66388110371431,69.35620924387469,79.64171773575701,88.8170346140794,92.23230806616662,95.57697108084707
30,1.3590889918003821,4.766258359168982,18.580475473990926,36.065577380649735,55.74427922345158,67.78336282927665,77.46922540728656,87.46063091366035,91.04364742100901,95.77580164609122
